code,year,hospital_stay_length,med_tech_availability_p_mil_ppl,expenditure_per_capita,life_expectancy,avoidable_deaths,health_expenditure_as_percent_gdp
AUS,2000,7.494594594594595,116.83333333333331,1636.52856445,79.2341463414634,86.4,7.589
AUS,2001,6.535135135135135,128.32999999999998,1559.82128906,79.6341463414634,82.2,7.674
AUS,2002,6.466216216216216,148.93333333333334,1763.69567871,79.9365853658537,80.2,7.872
AUS,2003,6.220945945945945,229.3175,2240.74609375,80.2390243902439,75.0,7.877
AUS,2004,6.32972972972973,258.6025,2760.83081055,80.490243902439,73.1,8.083
AUS,2006,5.989189189189189,248.195,3194.03076172,81.0414634146342,71.3,7.972
AUS,2007,6.122972972972973,161.39499999999998,3815.33642578,81.2926829268293,70.5,8.052
AUS,2008,5.832432432432433,127.952,4107.01269531,81.3951219512195,70.1,8.247
AUS,2009,5.808783783783785,188.735,4011.93261719,81.5439024390244,69.8,8.542
AUS,2010,5.727702702702703,200.19083333333333,4975.47070313,81.6951219512195,12569.0,8.419
AUS,2011,5.760135135135135,202.33666666666664,5909.14990234,81.8951219512195,12771.0,8.534
AUS,2012,5.233108108108108,218.28083333333333,6071.65087891,82.0463414634146,66.0,8.669
AUS,2013,5.171621621621622,245.59666666666664,5843.17382813,82.1487804878049,65.2,8.745
AUS,2014,5.164864864864865,257.5208333333333,6130.99853516,82.3,67.0,9.825
AUS,2015,5.361486486486487,268.5733333333333,5322.97119141,82.4,68.7,10.174
AUS,2016,5.45945945945946,280.2933333333333,5453.92480469,82.4487804878049,5906.0,10.09
AUS,2017,5.318243243243243,286.4425,5813.61376953,82.5,5764.5,10.112
AUS,2018,5.603378378378378,299.62166666666667,5857.28808594,82.7487804878049,5742.5,10.052
AUS,2019,5.247972972972973,311.1458333333333,5545.91064453,82.9,64.8,10.213
AUT,2002,8.350335570469799,36.10866666666666,2498.0,78.6780487804878,13931.0,9.395
AUT,2003,7.959060402684564,36.46566666666666,3091.0,78.6317073170732,13931.0,9.547
AUT,2004,8.306040268456377,39.50866666666666,3595.0,79.1804878048781,13394.0,9.709
AUT,2005,7.933557046979866,40.377,3710.0,79.3317073170732,13117.0,9.627
AUT,2006,7.71006711409396,40.653,3883.0,79.8804878048781,12721.0,9.531
AUT,2007,7.714093959731543,40.937666666666665,4479.0,80.1804878048781,12544.0,9.532
AUT,2008,7.797986577181208,41.595,5058.0,80.4317073170732,12122.0,9.726
AUT,2009,7.406711409395973,41.73466666666666,4929.0,80.3317073170732,12496.0,10.226
AUT,2010,7.53489932885906,42.321000000000005,4801.0,80.5804878048781,12451.0,10.221
AUT,2011,7.404697986577181,41.93266666666666,5168.0,80.9829268292683,12062.0,10.026
AUT,2012,7.467785234899328,42.659666666666666,4966.0,80.9365853658537,12186.0,10.199
AUT,2013,7.66241610738255,47.38944444444444,5235.0,81.1365853658537,12192.0,10.286
AUT,2014,7.748322147651007,48.40583333333334,5394.0,81.490243902439,11959.0,10.368
AUT,2015,8.017449664429531,49.03722222222222,4613.0,81.190243902439,12121.0,10.368
AUT,2016,7.658108108108108,50.02472222222222,4710.0,81.6414634146342,11612.0,10.352
AUT,2017,7.784666666666666,50.11555555555555,4939.0,81.6439024390244,61.2,10.384
AUT,2018,8.114,50.46194444444444,5337.0,81.6926829268293,60.4,10.349
AUT,2019,8.414,51.5525,5263.0,81.8951219512195,59.1,10.488
BEL,2000,8.091275167785236,76.83,1849.91601563,77.7219512195122,93.1,7.999
BEL,2001,7.94496644295302,78.08500000000001,1879.93457031,77.9731707317073,91.2,8.15
BEL,2002,7.773154362416108,67.489,2084.7199707,78.0756097560976,101.7,8.318
BEL,2003,7.774829931972788,64.7475,2814.88061523,78.1292682926829,99.3,9.164
BEL,2004,7.660544217687075,66.48861111111111,3312.74121094,78.8780487804878,83.4,9.328
BEL,2005,7.529931972789115,67.12611111111111,3405.88500977,78.9804878048781,85.7,9.222
BEL,2006,7.428571428571429,66.29583333333333,3545.92822266,79.380487804878,82.6,9.128
BEL,2007,7.351020408163266,68.38222222222223,4064.87646484,79.7829268292683,83.6,9.134
BEL,2008,7.205442176870748,71.55583333333334,4653.50585938,79.6804878048781,83.9,9.593
BEL,2009,7.074149659863945,72.84166666666667,4638.43896484,80.0341463414634,84.6,10.319
BEL,2010,6.997278911564626,73.39138888888888,4531.03369141,80.1829268292683,86.0,10.2
BEL,2011,6.829931972789115,72.6088888888889,4930.14111328,80.5853658536585,84.9,10.361
BEL,2012,6.782993197278912,73.96222222222222,4704.47265625,80.3853658536585,82.9,10.503
BEL,2013,6.704081632653061,76.77694444444444,4954.92431641,80.5878048780488,83.2,10.575
BEL,2014,6.494557823129251,79.40861111111111,5080.125,81.2878048780488,78.7,10.608
BEL,2016,6.506756756756757,80.73361111111112,4542.79492188,81.4390243902439,6840.0,10.793
BEL,2017,6.398648648648648,81.60888888888888,4782.64697266,81.4926829268293,6946.5,10.801
BEL,2018,6.289864864864865,76.88625,5176.98388672,81.5951219512195,7053.5,10.861
BEL,2019,6.116216216216216,65.00214285714286,5049.57714844,81.9951219512195,75.9,10.76
CAN,2000,7.394520547945206,19.87875,2001.66870117,79.1668292682927,28598.0,8.248
CAN,2001,7.559310344827586,74.49333333333334,2055.75952148,79.3980487804878,28542.0,8.625
CAN,2002,7.604827586206897,107.48833333333332,2149.37939453,79.5307317073171,28535.5,8.857
CAN,2003,7.628275862068966,93.87583333333332,2552.26391602,79.7151219512195,28590.0,9.011
CAN,2004,7.546206896551724,96.94291666666666,2916.2512207,79.9921951219512,28085.5,9.066
CAN,2005,7.454482758620689,122.5323076923077,3291.22070313,80.1126829268293,28519.5,9.035
CAN,2006,7.632191780821917,107.02166666666666,3788.68603516,80.5436585365854,27658.5,9.325
CAN,2007,7.776027397260274,112.74333333333334,4221.92871094,80.5436585365854,28622.0,9.429
CAN,2009,8.013013698630138,121.16541666666669,4368.85693359,81.0660975609756,28598.0,10.7
CAN,2010,7.992465753424657,142.29576923076922,5083.98193359,81.3221951219512,28698.5,10.704
CAN,2011,7.915068493150685,144.7103846153846,5423.05908203,81.4826829268293,28268.5,10.408
CAN,2012,8.023972602739725,147.0003846153846,5538.93554688,81.6636585365854,29047.5,10.545
CAN,2013,8.084246575342465,203.849,5483.25585938,81.7448780487805,29691.5,10.44
CAN,2014,8.008219178082193,213.1833333333333,5231.73632813,81.7843902439025,30361.5,10.285
CAN,2015,7.899999999999999,188.72583333333333,4677.83007813,81.8156097560976,70666.0,10.769
CAN,2016,7.902739726027397,131.71666666666667,4667.703125,81.9248780487805,70628.0,11.061
CAN,2017,7.721232876712329,157.38,4920.72851563,81.8329268292683,23699.0,10.934
CAN,2018,7.817808219178082,114.37875,5080.32324219,81.8439024390244,24006.0,10.943
CAN,2019,7.860273972602739,128.645625,5115.97607422,82.2239024390244,32419.5,11.059
