code,year,hospital_stay_length,med_tech_availability_p_mil_ppl,expenditure_per_capita,life_expectancy,avoidable_deaths,health_expenditure_as_percent_gdp
ESP,2017,8.181756756756757,169.73749999999998,2524.68481445,83.2829268292683,11718.5,8.947
ESP,2018,9.933783783783785,175.22694444444443,2741.38256836,83.4317073170732,48320.5,8.999
ESP,2019,9.529054054054054,178.48861111111114,2716.83349609,83.8317073170732,47710.0,9.135
EST,2005,7.632608695652173,1.97,549.63024902,72.5682926829268,569.1,5.295
EST,2006,7.530434782608696,2.4386666666666668,627.18377686,72.6914634146341,563.3,4.974
EST,2007,7.797826086956522,3.7243333333333335,866.49945068,72.8146341463415,567.9,5.185
EST,2008,7.556521739130435,4.544333333333333,1082.15478516,73.7707317073171,512.7,5.957
EST,2009,7.293478260869565,4.431333333333334,1006.50708008,74.8243902439024,482.2,6.845
EST,2010,7.056521739130435,4.786666666666667,966.19024658,75.4292682926829,449.9,6.594
EST,2011,7.023913043478261,5.260333333333333,1061.1628418,76.2292682926829,438.3,6.078
EST,2012,7.297826086956522,5.502,1058.71960449,76.3268292682927,441.3,6.095
EST,2013,6.871739130434782,6.253611111111111,1194.86206055,77.1414634146341,387.2,6.281
EST,2014,7.028260869565218,6.356944444444444,1287.76123047,77.0341463414634,399.4,6.362
EST,2015,6.871739130434782,6.259444444444444,1156.20275879,77.590243902439,1620.5,6.641
EST,2016,6.923913043478261,6.746666666666666,1226.0859375,77.6414634146342,1561.0,6.702
EST,2017,6.876086956521739,6.8422222222222215,1350.12646484,78.0926829268293,348.2,6.597
EST,2018,6.8847826086956525,6.831111111111111,1553.43347168,78.2439024390244,640.5,6.691
EST,2019,7.0978260869565215,6.916944444444445,1599.3503418,78.6463414634147,597.0,6.772
FIN,2001,10.32013422818792,29.422,1810.0,77.9658536585366,5249.0,7.251
FIN,2002,10.46510067114094,30.84,2059.0,78.119512195122,5177.5,7.628
FIN,2003,10.187919463087248,30.06055555555556,2614.0,78.3682926829268,4965.0,7.938
FIN,2004,9.96979865771812,31.290666666666667,3044.0,78.7146341463415,4869.5,8.059
FIN,2005,10.121476510067112,31.988,3237.0,78.8170731707317,4733.5,8.288
FIN,2006,10.100671140939598,30.276666666666664,3415.0,79.2146341463415,4414.5,8.284
FIN,2007,10.275838926174496,39.4375,3919.0,79.2634146341464,4413.5,8.084
FIN,2008,10.359060402684564,21.897142857142857,4486.0,79.5682926829268,4307.0,8.343
FIN,2009,10.06241610738255,33.00666666666667,4350.0,79.719512195122,59.6,9.161
FIN,2010,9.559731543624162,34.17,4252.0,79.8707317073171,58.0,9.142
FIN,2011,9.361073825503356,35.252,4718.0,80.4707317073171,4161.5,9.223
FIN,2012,9.233557046979866,36.094,4573.0,80.6268292682927,4149.0,9.586
FIN,2013,9.00268456375839,33.016666666666666,4892.0,80.9756097560976,4009.5,9.805
FIN,2014,8.696644295302013,37.78,4923.0,81.1804878048781,3919.5,9.781
FIN,2015,7.6597315436241615,35.736666666666665,4128.0,81.4804878048781,73.8,9.645
FIN,2016,7.610738255033557,40.266,4109.0,81.4292682926829,74.4,9.378
FIN,2017,6.910738255033557,41.196666666666665,4236.0,81.6317073170732,73.6,9.127
FIN,2018,6.871140939597316,33.60055555555555,4522.0,81.7341463414634,3893.5,9.043
FRA,2000,6.5134228187919465,59.37916666666667,2161.85302734,79.0560975609756,258.0,9.584
FRA,2001,6.523489932885906,88.73538461538462,2192.71557617,79.1585365853659,76.1,9.706
FRA,2002,6.550335570469799,93.4146153846154,2449.75830078,79.2609756097561,73.8,10.022
FRA,2003,6.475167785234899,99.815,3006.3059082,79.1146341463415,238.9,10.083
FRA,2004,6.361073825503356,109.02538461538462,3458.62744141,80.1634146341463,225.8,10.164
FRA,2005,6.223489932885906,118.50692307692309,3575.02514648,80.1634146341463,224.0,10.215
FRA,2006,6.121476510067114,123.88538461538462,3811.55175781,80.8121951219512,216.1,10.386
FRA,2007,6.052348993288591,126.3346153846154,4312.31054688,81.1121951219512,211.2,10.316
FRA,2008,5.958389261744967,135.19076923076923,4807.37451172,81.2146341463415,205.5,10.501
FRA,2009,5.950335570469798,141.39076923076922,4737.578125,81.4146341463415,203.3,11.288
FRA,2010,5.987755102040816,149.62115384615385,4592.38330078,81.6634146341463,198.6,11.226
FRA,2011,5.913605442176871,158.475,4931.87792969,82.1146341463415,195.2,11.185
FRA,2012,5.902721088435374,174.31692307692308,4644.59570313,81.9682926829268,187.3,11.297
FRA,2013,5.882312925170067,191.295,4884.76660156,82.219512195122,181.8,11.396
FRA,2014,5.819727891156463,204.1778571428572,4980.81494141,82.719512195122,175.4,11.525
FRA,2015,5.763265306122449,225.845,4201.78173828,82.3219512195122,161.0,11.44
FRA,2016,6.791156462585034,234.8625,4256.765625,82.5731707317073,157.9,11.49
FRA,2017,6.743537414965987,241.0507142857143,4410.59912109,82.5756097560976,158.7,11.371
FRA,2018,6.7326530612244895,246.58357142857145,4666.97998047,82.6756097560976,156.8,11.21
FRA,2019,6.724489795918367,253.5303571428572,4504.48486328,82.8268292682927,153.5,11.099
GBR,2001,10.799328859060402,197.62166666666667,2052.34667969,77.9926829268293,377.4,7.452
GBR,2002,10.461744966442954,176.6775,2306.12841797,78.1439024390244,367.3,7.878
GBR,2003,10.324161073825504,175.01125,2784.53955078,78.4463414634146,356.7,8.078
GBR,2004,10.251677852348994,156.7375,3366.34155273,78.7463414634146,337.6,8.339
GBR,2005,10.199328859060405,158.787,3536.32299805,79.0487804878049,327.0,8.394
GBR,2006,10.120805369127517,196.935,3857.4855957,79.2487804878049,316.4,8.545
GBR,2007,9.493959731543624,192.5925,4367.53564453,79.4487804878049,307.3,8.757
GBR,2008,9.448322147651009,207.3,4297.47509766,79.6,301.3,9.04
GBR,2009,9.400671140939597,278.4,3914.19580078,80.0512195121951,287.4,9.848
GBR,2010,9.298657718120806,243.56625,3956.38891602,80.4024390243902,278.4,9.789
GBR,2011,8.702013422818792,252.21,4199.08398438,80.9512195121951,266.5,9.796
GBR,2012,8.560402684563758,262.8,4242.23486328,80.9048780487805,254.3,9.892
GBR,2013,8.415436241610738,268.6625,4304.47802734,81.0048780487805,254.4,9.978
GBR,2014,8.246308724832215,246.2383333333333,4697.76025391,81.3048780487805,248.9,9.903
GBR,2016,9.944295302013424,307.185,4017.34228516,81.1560975609756,26611.0,9.765
GBR,2018,8.487919463087248,272.035,4226.20507813,81.2560975609756,75.0,9.738
GBR,2019,7.565789473684211,199.95,4268.67724609,81.4048780487805,70.6,9.954
HUN,2004,8.384027777777778,32.41916666666667,798.0,72.6487804878049,11143.5,7.758
HUN,2005,8.684722222222222,33.43333333333334,895.0,72.6487804878049,11347.5,7.985
HUN,2006,8.674305555555554,34.44416666666666,893.0,73.0975609756098,10820.5,7.778
HUN,2007,8.718055555555557,36.83083333333333,1003.0,73.1512195121951,10584.0,7.204
HUN,2008,8.90486111111111,35.096666666666664,1117.0,73.7024390243903,10217.5,7.088
HUN,2009,8.900694444444445,36.65833333333333,944.0,73.9048780487805,10213.0,7.222
HUN,2010,9.175,36.75833333333333,983.0,74.2073170731707,9907.0,7.449
HUN,2011,9.114685314685316,36.86333333333334,1063.0,74.8585365853659,9741.0,7.481
HUN,2012,9.202083333333333,36.785,961.0,75.0634146341463,9660.0,7.411
HUN,2013,9.05625,38.17000000000001,991.0,75.5658536585366,9401.5,7.234
HUN,2014,9.064583333333331,38.5475,1006.0,75.7634146341463,9413.0,7.047
HUN,2015,9.338888888888889,39.015,871.0,75.5682926829269,611.8,6.854
HUN,2016,9.266666666666667,40.126666666666665,914.0,76.0634146341464,602.7,6.988
HUN,2017,9.458333333333334,41.790000000000006,985.0,75.8170731707317,9526.0,6.744
HUN,2018,9.427777777777775,27.37333333333333,1080.0,76.0658536585366,30282.0,6.58
HUN,2019,9.428275862068965,27.375,1054.0,76.3195121951219,29321.0,6.282
IRL,2007,7.665986394557823,25.185,4858.64501953,79.6414634146341,5191.5,7.808
IRL,2008,7.800680272108844,22.71214285714285,5638.77929688,80.0951219512195,5120.0,9.126
IRL,2009,7.836054421768708,20.75,5502.88769531,80.190243902439,5321.5,10.523
IRL,2010,7.527210884353741,21.403,5133.45507813,80.7439024390244,4843.5,10.524
IRL,2011,7.627210884353741,22.117500000000003,5545.76416016,80.7463414634146,2934.0,10.599
IRL,2012,7.589795918367347,22.405,5210.36376953,80.8463414634146,2881.0,10.622
IRL,2013,6.833561643835616,23.056,5313.70947266,80.9487804878049,4994.5,10.287
IRL,2014,6.759183673469388,22.4825,5316.26953125,81.3487804878049,4995.0,9.495
IRL,2015,7.054421768707483,23.72,4575.94482422,81.4536585365854,4761.5,7.321
IRL,2016,6.985034013605442,24.0985,4726.31298828,81.6536585365854,4901.5,7.482
IRL,2017,6.917687074829932,26.409,5010.25634766,82.1560975609756,4710.0,7.107
IRL,2018,7.099319727891157,26.59,5187.05761719,82.2048780487805,4948.0,6.859
IRL,2019,7.059183673469388,25.20055555555556,5462.73095703,82.7024390243903,4881.0,6.716
ISL,2000,6.161744966442954,5.5713888888888885,2854.0,79.6536585365854,73.3,8.899
ISL,2001,5.678523489932887,5.511388888888889,2527.0,80.690243902439,69.2,8.753
ISL,2002,5.512080536912752,5.962777777777777,3045.0,80.5024390243903,56.4,9.404
ISL,2003,5.942953020134228,5.930555555555555,3837.0,80.9634146341464,68.6,9.729
ISL,2004,5.612080536912751,5.898888888888889,4411.0,80.9975609756098,62.1,9.329
ISL,2005,5.657046979865771,6.308333333333333,5076.0,81.5024390243902,58.4,8.947
ISL,2006,6.087919463087249,6.435,4915.0,81.1585365853659,70.5,8.557
ISL,2007,5.982432432432432,6.775833333333334,5800.0,81.4536585365854,67.8,8.354
ISL,2008,5.933108108108109,6.693055555555556,4747.0,81.609756097561,63.3,8.344
ISL,2009,6.042953020134227,7.120277777777777,3621.0,81.7512195121951,45.1,8.775
ISL,2011,5.883783783783784,7.120277777777778,3911.0,82.3585365853659,45.1,8.255
ISL,2012,6.087162162162162,7.088055555555556,3760.0,82.9170731707317,43.6,8.231
ISL,2013,6.122972972972973,6.810833333333334,4069.0,82.0609756097561,56.5,8.227
ISL,2014,6.28445945945946,6.763333333333333,4488.0,82.8609756097561,45.4,8.29
ISL,2016,6.496621621621622,7.085555555555556,5016.0,82.2048780487805,49.8,8.156
ISL,2017,6.253378378378378,7.396111111111111,5945.0,82.6609756097561,336.0,8.324
ISL,2019,6.180952380952381,7.749444444444445,5865.0,83.1634146341463,47.0,8.64
ISR,2000,13.114569536423842,10.972,1472.0,78.9536585365854,131.6,6.608
ISR,2001,9.396026490066223,11.630666666666666,1515.0,79.4073170731707,128.6,7.019
ISR,2002,9.427814569536425,11.599,1362.0,79.4512195121951,125.0,6.923
ISR,2003,9.948344370860926,11.724333333333334,1390.0,79.6487804878049,118.9,6.855
ISR,2004,8.944966442953021,11.851666666666668,1443.0,80.1463414634146,112.2,6.804
ISR,2005,8.776510067114094,12.205666666666668,1512.0,80.1512195121951,110.2,6.902
ISR,2006,9.42980132450331,12.178666666666668,1558.0,80.5536585365854,105.2,6.708
ISR,2007,8.032885906040269,13.595999999999998,1773.0,80.5048780487805,102.4,6.695
ISR,2008,7.55503355704698,13.712333333333335,2129.0,80.9512195121951,5580.0,6.828
ISR,2009,7.551006711409396,14.132,2036.0,81.4048780487805,5460.0,6.901
ISR,2010,7.629530201342281,14.554,2240.0,81.6024390243903,93.8,6.872
ISR,2011,7.781208053691275,15.050333333333334,2446.0,81.6560975609756,91.3,6.823
ISR,2012,8.002013422818791,15.619666666666667,2410.0,81.7048780487805,86.6,6.96
ISR,2013,7.884563758389262,16.42388888888889,2681.0,82.0560975609756,84.4,6.96
ISR,2014,7.846308724832215,17.884722222222223,2816.0,82.1536585365854,81.9,7.051
ISR,2015,7.716107382550335,19.09055555555556,2661.0,82.0512195121951,64.4,7.038
ISR,2016,7.804026845637584,20.60277777777777,2801.0,82.4073170731707,62.4,7.121
ISR,2017,7.67986577181208,21.861666666666668,3094.0,82.5512195121951,59.9,7.196
ISR,2018,7.073825503355705,22.313611111111108,3220.0,82.8024390243903,73.4,7.258
ISR,2019,7.002684563758389,22.209444444444443,3354.0,82.8048780487805,71.8,7.225
ITA,2003,7.571140939597315,264.7004166666666,2163.0,79.9829268292683,134707.0,7.833
ITA,2004,7.542953020134228,285.18083333333334,2566.0,80.7804878048781,127025.0,8.165
ITA,2005,7.553020134228188,296.93583333333333,2678.0,80.7829268292683,124674.0,8.339
ITA,2006,7.555704697986576,316.9183333333333,2833.0,81.2829268292683,120611.0,8.437
ITA,2007,7.5369127516778525,317.3097222222222,3093.0,81.4341463414634,118677.0,8.136
ITA,2008,7.553691275167785,337.38138888888886,3504.0,81.4853658536585,116721.0,8.533
ITA,2009,7.5463087248322145,353.84361111111104,3338.0,81.6365853658537,115315.0,8.952
ITA,2010,7.5416107382550335,358.44916666666666,3218.0,82.0365853658537,111666.0,8.916
ITA,2011,7.594630872483222,371.7588888888889,3392.0,82.1878048780488,111008.0,8.774
ITA,2012,7.548993288590604,375.8077777777778,3086.0,82.2390243902439,110056.0,8.784
ITA,2013,7.52013422818792,378.2244444444445,3149.0,82.690243902439,106550.0,8.775
ITA,2014,7.551006711409396,384.2102777777778,3154.0,83.090243902439,46651.5,8.868
ITA,2015,7.595973154362416,389.75388888888887,2676.0,82.5439024390244,46638.5,8.857
ITA,2016,7.622818791946309,393.72,2700.0,83.2439024390244,101546.0,8.725
ITA,2017,7.567785234899329,395.4272222222223,2810.0,82.9463414634147,102037.0,8.678
ITA,2018,7.633557046979865,396.1741666666667,3003.0,83.3463414634146,61591.5,8.682
ITA,2019,7.691275167785235,404.9455555555556,2911.0,83.4975609756098,60382.5,8.656
KOR,2002,15.03020134228188,381.08375,531.89007568,76.7658536585366,131.5,4.052
KOR,2005,14.726845637583892,334.0408333333333,887.69561768,78.1682926829268,106.7,4.839
KOR,2008,17.604026845637584,312.4075,1137.20910645,79.5170731707317,88.5,5.4
KOR,2009,16.318120805369126,328.30305555555555,1099.13916016,79.9682926829268,19878.5,5.898
KOR,2010,16.391275167785235,328.9511111111111,1363.56091309,80.1170731707317,19301.0,6.026
KOR,2011,16.87315436241611,348.5088888888889,1507.55664063,80.5682926829269,76.5,6.124
KOR,2012,16.345637583892618,368.6444444444445,1553.32824707,80.819512195122,74.9,6.178
KOR,2013,16.783221476510068,379.1494444444445,1682.76391602,81.2707317073171,69.2,6.311
KOR,2014,17.213422818791944,378.87750000000005,1880.4420166,81.7219512195122,67.0,6.502
KOR,2015,18.61744966442953,385.35277777777776,1894.34753418,82.0243902439024,125.0,6.724
